"OPENMONTH","LOAN_TERM","LOAN_SIZE","AGEINMONTHS","TOTAL_ACCOUNTS","TOTAL_IN_ARREARS"
"202409","5","5001 - 6000",2,3,1
"202503","4","1001 - 2000",3,189,40
"202504","2","6001 - 7000",1,7,1
"202401","7","10000 +",2,42,4
"202409","5","6001 - 7000",1,3,0
"202403","2","5001 - 6000",6,50,12
"202403","6","6001 - 7000",4,456,166
General,"2","5001 - 6000",8,442,90
"202407","4","1001 - 2000",5,332,93
"202410","3","7001 - 8000",3,937,307
"202408","8","9001 - 10000",3,490,111
"202412","1","4001 - 5000",4,1493,230
"202403","1","2001 - 3000",5,4709,559
"202411","5","4001 - 5000",3,5,1
"202406","2","5001 - 6000",8,38,4
"202412","6","10000 +",8,2,0
"202403","4","1001 - 2000",4,343,102
"202404","3","3001 - 4000",6,792,231
"202503","1",   0 - 1000,5,3470,334
"202404","6","1001 - 2000",5,52,8
"202504","1","7001 - 8000",4,730,59
"202502","4","6001 - 7000",1,389,54
"202408","1","7001 - 8000",5,670,54
General,"6","5001 - 6000",3,9290,2571
"202401","7","10000 +",4,42,8
"202504","7","10000 +",1,450,19
"202409","1","2001 - 3000",2,4614,510
"202408","1","6001 - 7000",1,191,29
"202501","2","1001 - 2000",7,128,16
"202405","4","6001 - 7000",6,651,250
"202410","4","5001 - 6000",7,1142,521
"202403","2","1001 - 2000",5,240,39
"202409","5","2001 - 3000",4,1,0
"202411","2",   0 - 1000,8,8,3
"202402","7","10000 +",8,74,24
"202401","8","10000 +",8,525,195
"202403","1","3001 - 4000",2,2121,212
"202501","8","8001 - 9000",6,22,10
"202502","6","3001 - 4000",2,137,16
"202402","5","4001 - 5000",8,5,2
"202502","3","5001 - 6000",5,565,176
"202411","1",   0 - 1000,5,2870,284
"202411","5","1001 - 2000",7,1,0
"202402","5","5001 - 6000",4,1,0
"202503","4","3001 - 4000",1,917,106
"202405","3","6001 - 7000",7,255,87
"202405","6","6001 - 7000",8,347,128
"202410","5","2001 - 3000",1,3,0
"202403","3","2001 - 3000",5,1120,257
"202402","6","4001 - 5000",6,520,150
"202505","8","4001 - 5000",2,1,0
"202408","4",   0 - 1000,3,12,4
"202404","3","3001 - 4000",4,792,231
"202405","4","5001 - 6000",1,1159,133
"202406","1","6001 - 7000",5,181,23
"202501","4","7001 - 8000",2,2437,585
"202408","3","4001 - 5000",1,861,117
"202406","4","3001 - 4000",7,1297,433
"202412","5","2001 - 3000",1,4,0
"202404","5","3001 - 4000",3,7,1
"202501","3","2001 - 3000",1,1026,92
"202409","2","1001 - 2000",1,167,19
"202405","5","1001 - 2000",6,3,1
"202412","7","10000 +",7,455,135
"202402","4","4001 - 5000",5,1152,400
"202408","3","1001 - 2000",3,491,100
"202408","2","2001 - 3000",1,160,19
"202507","4","2001 - 3000",1,673,33
"202401","2","4001 - 5000",2,75,13
"202502","4","6001 - 7000",4,389,150
"202403","6","4001 - 5000",4,537,157
"202411","5","2001 - 3000",4,7,3
"202506","1","3001 - 4000",2,2169,389
General,"5","6001 - 7000",7,29,9
"202403","6","5001 - 6000",6,629,223
"202405","6","3001 - 4000",6,271,72
"202402","5","4001 - 5000",7,5,2
"202503","6","2001 - 3000",5,83,20
"202401","6","2001 - 3000",4,120,19
"202412","6","7001 - 8000",4,2964,1115
"202409","4","5001 - 6000",5,1075,428
"202408","5","4001 - 5000",2,6,0
"202407","4","7001 - 8000",7,3736,1597
"202402","4","4001 - 5000",7,1152,400
"202410","8","10000 +",8,1684,853
"202401","3","2001 - 3000",2,904,170
"202402","4","2001 - 3000",2,775,158
"202407","3","2001 - 3000",1,1016,143
"202412","1",   0 - 1000,1,2910,409
"202407","2","3001 - 4000",4,124,28
"202409","6","2001 - 3000",1,106,5
"202403","8","10000 +",2,1107,125
General,"5","2001 - 3000",3,46,16
"202503","6","6001 - 7000",3,327,104
"202404","2","6001 - 7000",5,20,1
"202403","2","2001 - 3000",7,174,32
"202404","3","1001 - 2000",6,499,92
"202503","2","2001 - 3000",2,88,14
"202410","4","4001 - 5000",1,1168,150
"202408","5","1001 - 2000",4,1,0
"202404","2","3001 - 4000",7,106,14
"202409","3","3001 - 4000",2,827,193
"202411","3",   0 - 1000,3,7,3
"202403","2","3001 - 4000",8,121,25
"202409","2",   0 - 1000,5,15,4
"202403","5","2001 - 3000",6,3,1
"202505","7","5001 - 6000",3,1,0
"202411","5","5001 - 6000",6,4,1
"202504","2","2001 - 3000",2,72,8
"202409","1",   0 - 1000,3,2629,237
General,"1","4001 - 5000",1,22266,2510
"202504","4","6001 - 7000",4,497,208
"202410","8","9001 - 10000",5,320,95
"202409","3","3001 - 4000",6,827,221
"202505","7","5001 - 6000",2,1,0
"202404","3","3001 - 4000",8,792,231
"202408","1","4001 - 5000",3,1216,130
"202504","6","1001 - 2000",2,43,3
"202412","6","5001 - 6000",7,615,232
"202407","2","7001 - 8000",5,93,21
"202506","7","10000 +",2,465,22
General,"8","4001 - 5000",2,1,0
"202406","4","7001 - 8000",3,3838,1316
"202501","4","7001 - 8000",5,2437,832
"202402","4","2001 - 3000",3,775,196
"202405","4","2001 - 3000",5,866,250
"202404","8","8001 - 9000",4,15,4
"202412","8","7001 - 8000",5,1,0
"202504","1","5001 - 6000",2,458,46
General,"2","7001 - 8000",8,1348,253
"202502","5","2001 - 3000",3,1,0
"202506","1","1001 - 2000",1,6867,1035
"202504","2","6001 - 7000",3,7,2
"202403","7","10000 +",1,157,9
"202404","4","6001 - 7000",5,689,279
"202409","3","7001 - 8000",4,774,231
"202409","6","7001 - 8000",4,2463,893
"202506","2","6001 - 7000",2,5,0
"202407","6","1001 - 2000",6,50,17
"202411","1","1001 - 2000",6,7684,1069
"202411","6","2001 - 3000",3,83,21
"202403","2","2001 - 3000",5,174,32
"202502","6","2001 - 3000",6,85,27
"202504","5","3001 - 4000",2,2,0
"202403","4","4001 - 5000",5,1375,460
"202404","5","5001 - 6000",4,1,1
"202504","2","1001 - 2000",4,161,32
"202502","5","6001 - 7000",3,2,0
"202503","1","3001 - 4000",3,2601,297
"202407","2","2001 - 3000",7,135,24
"202411","8","9001 - 10000",5,396,141
"202501","5","5001 - 6000",2,3,1
"202404","1","1001 - 2000",5,7380,797
General,"8","10000 +",8,16372,6125
"202504","1","1001 - 2000",3,6908,688
"202404","5","6001 - 7000",6,1,0
"202402","1","2001 - 3000",3,4309,524
"202407","7","9001 - 10000",6,183,69
General,"7","8001 - 9000",1,26,3
"202406","1","7001 - 8000",6,653,53
"202411","2",   0 - 1000,2,8,3
"202411","4","7001 - 8000",5,3678,1822
"202406","5","4001 - 5000",2,8,1
"202404","2","5001 - 6000",4,48,13
"202503","3","2001 - 3000",2,1283,246
"202408","6","6001 - 7000",2,383,79
"202406","3","4001 - 5000",8,817,243
"202409","8","8001 - 9000",2,18,1
"202401","1","4001 - 5000",5,753,85
"202409","4","6001 - 7000",7,749,334
"202410","3","1001 - 2000",7,384,99
"202404","7","10000 +",8,145,40
"202411","5","7001 - 8000",8,11,3
"202411","3","7001 - 8000",1,1064,182
"202409","3","1001 - 2000",8,372,71
General,"8","5001 - 6000",6,1,0
"202405","8","10000 +",2,947,101
"202502","5","2001 - 3000",6,1,0
"202502","5","2001 - 3000",2,1,0
"202405","4","4001 - 5000",8,1344,449
"202409","4","2001 - 3000",6,742,240
"202406","1",   0 - 1000,5,2928,283
"202409","4","6001 - 7000",1,749,130
"202403","8","8001 - 9000",8,16,10
"202404","3","2001 - 3000",1,1039,96
"202405","4","2001 - 3000",8,866,250
"202412","4","3001 - 4000",4,1213,448
"202503","6","7001 - 8000",3,2180,656
"202501","4","4001 - 5000",7,827,284
"202411","4","6001 - 7000",1,625,133
"202408","2","5001 - 6000",4,31,6
"202409","1","5001 - 6000",7,517,50
"202502","2","5001 - 6000",5,26,5
"202409","1","5001 - 6000",5,517,50
"202404","3","3001 - 4000",3,792,230
"202406","2","6001 - 7000",8,19,4
General,"3","1001 - 2000",1,8740,683
"202404","1","6001 - 7000",1,174,14
"202501","5","4001 - 5000",4,6,2
"202406","3","4001 - 5000",1,817,99
"202410","3","2001 - 3000",2,1019,232
"202409","5","7001 - 8000",1,21,1
General,"5","2001 - 3000",5,42,18
"202502","2","5001 - 6000",6,26,5
"202501","6","3001 - 4000",2,203,33
"202409","7","10000 +",5,231,54
"202408","6","3001 - 4000",4,279,75
"202501","6","7001 - 8000",4,1859,600
"202409","6","1001 - 2000",8,36,8
"202504","8","10000 +",1,2215,121
"202502","4","7001 - 8000",1,2419,291
"202505","7","3001 - 4000",3,1,0
"202402","6","3001 - 4000",3,264,49
"202411","5","2001 - 3000",1,7,0
General,"3","3001 - 4000",5,12841,3716
"202410","2","6001 - 7000",6,17,5
"202403","4","5001 - 6000",1,1300,198
"202410","5","2001 - 3000",5,3,2
"202503","3","7001 - 8000",5,1188,344
"202502","6","6001 - 7000",2,229,40
"202409","5","4001 - 5000",4,5,2
"202407","5","7001 - 8000",6,10,6
"202412","1","6001 - 7000",2,251,52
"202409","6","5001 - 6000",5,479,191
"202411","1","2001 - 3000",6,6000,858
"202404","2",   0 - 1000,2,12,2
"202409","4","3001 - 4000",1,1114,119
"202401","3","5001 - 6000",6,458,150
"202402","1","4001 - 5000",7,935,105
General,"4","5001 - 6000",2,19003,5207
"202503","3","2001 - 3000",1,1283,124
"202406","2","1001 - 2000",6,203,35
"202409","2","4001 - 5000",4,56,6
General,"3","3001 - 4000",3,14849,4341
"202505","6","2001 - 3000",1,98,3
"202412","5","4001 - 5000",4,7,4
General,"8","6001 - 7000",3,1,0
"202411","6","6001 - 7000",6,412,173
"202410","5","2001 - 3000",3,3,1
"202410","6","7001 - 8000",7,2749,1186
General,"3","5001 - 6000",5,8586,2930
"202401","5","4001 - 5000",3,4,1
"202501","5","2001 - 3000",6,3,1
"202503","4","2001 - 3000",4,543,152
"202411","6","4001 - 5000",6,522,196
"202401","1",   0 - 1000,7,2807,352
"202409","4","1001 - 2000",4,236,73
"202503","4","2001 - 3000",5,543,152
"202401","6","7001 - 8000",6,2786,1001
"202412","6","5001 - 6000",2,615,133
"202504","5","7001 - 8000",2,6,4
"202412","5","6001 - 7000",5,4,0
"202409","5","5001 - 6000",7,3,1
"202504","5","4001 - 5000",2,6,1
"202402","5","4001 - 5000",2,5,0
"202412","6","5001 - 6000",3,615,176
"202406","6","1001 - 2000",6,50,18
"202411","8","8001 - 9000",2,45,10
"202502","5","6001 - 7000",5,2,0
"202505","2",   0 - 1000,2,9,3
"202502","4","1001 - 2000",5,162,43
"202405","6","4001 - 5000",4,554,140
"202404","3","6001 - 7000",1,237,51
"202403","1","6001 - 7000",8,182,18
"202411","1","4001 - 5000",3,1436,199
"202409","5","4001 - 5000",5,5,2
"202403","6","7001 - 8000",3,3201,892
"202403","4","1001 - 2000",2,343,61
"202410","4","4001 - 5000",7,1168,497
"202407","6","3001 - 4000",1,298,23
"202407","7","8001 - 9000",5,2,0
"202410","4","3001 - 4000",1,1083,137
"202411","5","6001 - 7000",5,3,2
"202407","3","3001 - 4000",6,835,255
"202504","8","10000 +",4,2215,469
"202405","2","3001 - 4000",8,90,16
"202409","6","3001 - 4000",1,222,15
General,"5","5001 - 6000",4,41,14
"202406","1","7001 - 8000",3,653,53
General,"6",   0 - 1000,6,3,2
"202503","7","8001 - 9000",5,2,1
"202406","8","9001 - 10000",4,465,97
"202408","3","1001 - 2000",5,491,100
"202412","4","3001 - 4000",1,1213,194
"202502","7","8001 - 9000",6,1,0
"202404","2","4001 - 5000",1,67,11
"202505","3","4001 - 5000",1,1066,132
"202406","5","4001 - 5000",4,8,3
General,"1","3001 - 4000",7,31264,3800
"202402","8","9001 - 10000",5,438,134
"202409","6","2001 - 3000",4,106,28
"202408","1","2001 - 3000",5,5517,639
"202409","7","9001 - 10000",5,127,40
"202407","5","7001 - 8000",7,10,6
"202503","6","2001 - 3000",2,83,10
"202402","5","1001 - 2000",3,1,0
"202505","5","5001 - 6000",2,2,1
"202405","5","6001 - 7000",4,1,0
"202506","6","1001 - 2000",1,37,1
"202505","7","10000 +",3,485,59
"202501","3","3001 - 4000",5,754,185
"202501","8","8001 - 9000",1,22,2
"202405","2","4001 - 5000",3,68,9
"202405","6","7001 - 8000",3,2655,718
"202407","5","6001 - 7000",8,1,1
"202404","7","9001 - 10000",6,167,47
"202502","6","2001 - 3000",4,85,16
"202410","6","4001 - 5000",1,398,26
"202407","2","5001 - 6000",5,37,10
General,"3","4001 - 5000",2,16013,4048
"202402","7","9001 - 10000",3,175,39
"202502","3","5001 - 6000",6,565,176
General,"3","7001 - 8000",2,15852,4252
"202404","3","7001 - 8000",2,715,160
"202501","5","4001 - 5000",6,6,2
"202406","1","7001 - 8000",4,653,53
"202504","4","1001 - 2000",2,224,24
"202403","5","5001 - 6000",5,3,3
"202406","7","9001 - 10000",3,215,33
"202407","1",   0 - 1000,6,3073,346
"202402","5","5001 - 6000",6,1,0
"202404","3","4001 - 5000",8,738,194
"202404","6","1001 - 2000",8,52,9
"202411","2","6001 - 7000",8,10,3
"202407","2","4001 - 5000",7,58,13
"202405","6","2001 - 3000",7,127,35
"202502","4","6001 - 7000",3,389,133
"202411","5","7001 - 8000",6,11,3
"202403","1","3001 - 4000",1,2121,209
"202401","3","6001 - 7000",3,225,79
"202412","6","10000 +",3,2,0
"202504","6","4001 - 5000",3,451,102
"202501","6","2001 - 3000",3,75,17
General,"2","3001 - 4000",4,1437,268
"202406","2","2001 - 3000",3,120,23
"202410","8","10000 +",3,1684,357
"202502","4",   0 - 1000,5,3,1
"202407","1","2001 - 3000",7,5477,704
General,"1","7001 - 8000",4,11155,1108
"202404","6","5001 - 6000",6,633,230
"202402","2","7001 - 8000",1,125,30
"202407","3","5001 - 6000",2,518,177
"202412","2","3001 - 4000",6,72,17
"202403","2","2001 - 3000",2,174,32
"202404","4","6001 - 7000",6,689,279
"202411","1","7001 - 8000",1,823,100
"202406","2","3001 - 4000",1,92,5
"202404","5","4001 - 5000",7,8,4
"202401","1","4001 - 5000",8,753,85
"202408","2","4001 - 5000",1,83,13
"202412","4","6001 - 7000",1,715,154
"202401","4","6001 - 7000",6,633,265
"202404","2","7001 - 8000",5,151,20
"202404","5","7001 - 8000",3,13,3
"202412","3","7001 - 8000",3,1298,460
"202502","5","5001 - 6000",6,4,0
"202505","7","10000 +",2,485,57
"202411","7","8001 - 9000",7,3,2
"202401","2","3001 - 4000",6,105,19
"202504","5","4001 - 5000",3,6,1
"202402","6","3001 - 4000",1,264,14
"202402","1",   0 - 1000,3,2776,283
"202503","2","7001 - 8000",2,74,11
"202409","3","1001 - 2000",7,372,71
"202408","6","5001 - 6000",1,685,64
"202406","2","4001 - 5000",5,64,12
"202402","5","5001 - 6000",8,1,0
"202501","6","6001 - 7000",4,225,68
"202411","6","5001 - 6000",3,573,186
"202405","6","1001 - 2000",1,43,0
"202404","1","5001 - 6000",6,364,34
"202402","4","6001 - 7000",7,626,236
"202402","3","7001 - 8000",6,639,164
"202503","7","10000 +",3,373,68
"202502","2","6001 - 7000",1,7,1
General,"4","4001 - 5000",4,18884,7040
"202407","2","4001 - 5000",6,58,13
"202410","4","4001 - 5000",2,1168,307
"202403","1","1001 - 2000",4,7542,884
"202501","4","2001 - 3000",5,504,133
"202407","2","3001 - 4000",2,124,28
"202406","1","4001 - 5000",2,1091,105
"202408","7","8001 - 9000",4,2,2
"202410","3","3001 - 4000",4,990,314
"202404","5","2001 - 3000",8,4,2
"202409","4","4001 - 5000",3,1206,421
"202407","4","5001 - 6000",5,1261,524
General,"4","7001 - 8000",1,63763,8411
"202410","3","7001 - 8000",5,937,309
"202411","5","5001 - 6000",7,4,1
"202501","2","6001 - 7000",3,10,2
"202407","3","3001 - 4000",7,835,255
"202403","1","5001 - 6000",4,453,44
"202401","4",   0 - 1000,7,10,3
"202408","6","5001 - 6000",7,685,266
"202409","3","2001 - 3000",8,896,217
"202411","7","10000 +",6,386,140
"202404","1","2001 - 3000",6,4460,482
"202503","5","6001 - 7000",2,1,1
"202403","8","8001 - 9000",3,16,6
"202404","4","6001 - 7000",1,689,101
"202408","2","6001 - 7000",7,15,3
"202412","5","2001 - 3000",8,4,2
"202401","4","4001 - 5000",1,1192,159
"202411","4","4001 - 5000",2,1049,390
"202503","7","10000 +",5,373,94
"202502","4","1001 - 2000",3,162,37
"202409","6","3001 - 4000",7,222,73
"202503","7","9001 - 10000",5,118,25
"202405","5","3001 - 4000",1,3,0
"202501","3","1001 - 2000",2,418,63
"202502","7","8001 - 9000",5,1,0
"202411","2","2001 - 3000",1,118,17
"202504","3","7001 - 8000",1,1003,133
"202405","1","6001 - 7000",4,206,27
General,"4","6001 - 7000",1,11741,1809
"202504","5","1001 - 2000",1,2,0
"202403","7","9001 - 10000",7,176,53
"202404","2","6001 - 7000",6,20,1
"202410","3","6001 - 7000",1,368,70
"202407","5","7001 - 8000",5,10,6
"202411","5","3001 - 4000",6,1,1
"202412","7","8001 - 9000",6,1,0
"202410","3","2001 - 3000",6,1019,296
"202401","5","6001 - 7000",7,1,1
"202403","5","6001 - 7000",4,1,0
"202411","6","7001 - 8000",7,2801,1255
"202502","3",   0 - 1000,5,8,2
"202502","1","6001 - 7000",3,267,27
"202407","1","5001 - 6000",8,532,64
"202408","8","9001 - 10000",7,490,176
"202411","3","4001 - 5000",2,1060,316
"202404","4","4001 - 5000",3,1308,409
"202407","2","2001 - 3000",3,135,24
"202409","1","6001 - 7000",7,191,23
"202402","1","7001 - 8000",3,492,36
"202502","1","5001 - 6000",6,668,63
"202412","3","1001 - 2000",4,433,130
General,"1","5001 - 6000",1,9984,1139
General,"4","1001 - 2000",4,4308,1231
"202405","2","6001 - 7000",2,18,5
"202408","4","6001 - 7000",2,856,262
"202410","4","2001 - 3000",1,585,53
"202402","7","10000 +",5,74,21
"202505","4","6001 - 7000",3,488,181
"202405","6","2001 - 3000",5,127,34
General,"4","3001 - 4000",6,16234,5567
"202410","2","5001 - 6000",3,37,4
"202507","5",   0 - 1000,1,1,0
General,"5","3001 - 4000",7,54,15
"202404","2","3001 - 4000",4,106,14
"202407","3",   0 - 1000,1,14,1
"202401","1","3001 - 4000",5,1952,249
"202501","3","6001 - 7000",5,237,78
General,"7","10000 +",2,4969,623
"202408","5","5001 - 6000",7,5,1
"202501","5","5001 - 6000",4,3,1
"202408","3","7001 - 8000",1,786,115
"202409","1","7001 - 8000",7,636,63
"202411","4","5001 - 6000",7,1047,508
"202410","3","2001 - 3000",5,1019,296
"202412","4","7001 - 8000",1,4276,812
"202404","3","6001 - 7000",8,237,89
"202502","1","7001 - 8000",6,868,76
"202501","4","6001 - 7000",5,397,136
"202404","2","2001 - 3000",1,175,24
"202506","3","4001 - 5000",2,923,178
"202410","3","1001 - 2000",8,384,99
"202409","1","1001 - 2000",5,6800,712
"202403","2",   0 - 1000,7,20,5
"202408","2","3001 - 4000",5,99,22
"202507","1","4001 - 5000",1,1173,162
"202411","1","3001 - 4000",3,2875,380
"202405","3","5001 - 6000",6,530,166
"202504","1","7001 - 8000",2,730,59
"202408","7","9001 - 10000",4,164,37
"202406","4","1001 - 2000",2,288,55
"202407","6","7001 - 8000",6,2846,1255
"202407","3","4001 - 5000",3,823,245
General,"4","6001 - 7000",6,9388,3988
General,"6","3001 - 4000",3,4237,881
"202501","1","3001 - 4000",3,2448,299
"202407","4","5001 - 6000",6,1261,524
"202406","2","1001 - 2000",3,203,35
"202502","2","7001 - 8000",4,69,13
"202409","1","5001 - 6000",3,517,50
"202412","2",   0 - 1000,7,5,3
General,"4","1001 - 2000",8,3540,1038
"202411","6","2001 - 3000",5,83,27
"202505","2","5001 - 6000",2,19,4
"202402","4","5001 - 6000",6,1097,438
"202501","2",   0 - 1000,1,12,1
"202402","2","7001 - 8000",2,125,37
"202502","4","4001 - 5000",6,716,231
"202501","4","3001 - 4000",2,822,179
"202407","6","4001 - 5000",6,573,224
"202409","8","9001 - 10000",5,287,82
"202401","2","6001 - 7000",5,15,4
"202408","1","2001 - 3000",1,5517,621
"202405","3",   0 - 1000,1,13,0
"202502","1","1001 - 2000",6,7128,748
General,"2",   0 - 1000,2,212,44
"202507","2","6001 - 7000",1,13,0
"202503","6","5001 - 6000",3,487,145
"202411","7","9001 - 10000",7,167,54
"202406","2","2001 - 3000",2,120,22
"202407","1","7001 - 8000",4,665,86
"202401","4","5001 - 6000",3,1010,349
"202405","1","4001 - 5000",3,1109,120
"202402","5","2001 - 3000",4,2,0
"202406","4","3001 - 4000",6,1297,433
"202402","1","3001 - 4000",5,1924,222
"202405","5","3001 - 4000",8,3,1
General,"6","2001 - 3000",6,1615,485
"202402","2","6001 - 7000",1,10,2
"202412","5","6001 - 7000",1,4,0
"202404","6","5001 - 6000",2,633,121
General,"2","6001 - 7000",8,177,38
"202503","8","9001 - 10000",2,323,44
"202402","2","3001 - 4000",7,110,20
"202406","2",   0 - 1000,6,18,3
"202411","8","7001 - 8000",8,1,1
"202405","3","4001 - 5000",2,768,196
"202401","4","3001 - 4000",4,1076,330
"202402","3","3001 - 4000",2,672,152
"202403","5","5001 - 6000",2,3,1
"202402","1","5001 - 6000",6,331,33
"202506","6","2001 - 3000",2,97,8
"202504","8","9001 - 10000",3,272,52
"202401","3","7001 - 8000",4,658,210
"202412","3","5001 - 6000",2,790,293
"202406","3","4001 - 5000",4,817,243
"202506","6","7001 - 8000",2,1988,233
"202409","2","2001 - 3000",4,126,27
"202410","2",   0 - 1000,5,6,0
"202408","4","5001 - 6000",1,1252,182
"202403","2","4001 - 5000",1,70,5
"202411","8","7001 - 8000",2,1,0
"202409","5","4001 - 5000",2,5,1
"202409","4","5001 - 6000",7,1075,428
"202404","8","8001 - 9000",5,15,5
"202412","6","10000 +",6,2,0
"202412","8","10000 +",6,2645,920
General,"4","1001 - 2000",6,3895,1126
"202410","1",   0 - 1000,8,2668,247
"202406","3","2001 - 3000",8,910,218
"202405","5","7001 - 8000",7,9,3
"202412","6","3001 - 4000",6,279,96
"202404","4","7001 - 8000",6,3681,1319
"202412","3","5001 - 6000",6,790,320
"202410","3","4001 - 5000",6,842,273
"202407","5","6001 - 7000",2,1,1
"202403","6","4001 - 5000",1,537,35
"202402","3","4001 - 5000",6,697,185
"202411","3","7001 - 8000",5,1064,387
"202407","3","2001 - 3000",8,1016,285
"202412","6","3001 - 4000",3,279,72
"202402","2","4001 - 5000",2,58,8
"202407","3","6001 - 7000",4,298,119
"202407","6","4001 - 5000",5,573,209
"202405","1","4001 - 5000",6,1109,120
"202410","1","1001 - 2000",4,7414,758
"202410","2",   0 - 1000,4,6,0
"202402","4","7001 - 8000",5,3393,1199
"202401","6","7001 - 8000",8,2786,1001
"202407","6","1001 - 2000",5,50,14
"202403","5","1001 - 2000",7,1,0
"202501","4","2001 - 3000",7,504,133
"202403","6","3001 - 4000",5,326,89
"202402","4","4001 - 5000",1,1152,146
"202502","6","6001 - 7000",6,229,90
"202507","8","7001 - 8000",1,10,0
"202501","6",   0 - 1000,3,1,0
"202411","6","1001 - 2000",2,18,1
"202412","7","10000 +",2,455,64
"202403","3","4001 - 5000",4,879,242
"202407","4","3001 - 4000",7,1430,518
"202503","3","4001 - 5000",2,1169,244
"202408","2","7001 - 8000",7,130,14
"202412","8","9001 - 10000",5,491,175
"202501","4","1001 - 2000",4,193,44
"202402","1","1001 - 2000",8,6725,814
"202504","5","4001 - 5000",4,6,1
"202504","3","1001 - 2000",1,553,43
"202412","6","3001 - 4000",1,279,27
"202502","5","4001 - 5000",2,6,0
"202503","2","4001 - 5000",5,49,12
"202503","5","6001 - 7000",5,1,1
"202402","3","7001 - 8000",8,639,164
"202501","4","2001 - 3000",6,504,133
"202406","8","10000 +",6,1207,359
"202502","2","3001 - 4000",2,59,8
"202410","6","7001 - 8000",1,2749,315
"202410","6","6001 - 7000",1,388,54
"202410","3","5001 - 6000",7,687,229
"202412","1",   0 - 1000,7,2910,420
"202403","2","4001 - 5000",8,70,9
"202505","2","4001 - 5000",1,33,3
"202501","3","2001 - 3000",5,1026,241
"202412","3",   0 - 1000,1,11,2
"202405","5","4001 - 5000",2,5,0
"202405","1","7001 - 8000",8,599,65
General,"3","1001 - 2000",2,8231,1381
"202411","5","5001 - 6000",3,4,1
"202409","2","2001 - 3000",5,126,27
"202503","6","1001 - 2000",5,37,9
"202408","3",   0 - 1000,2,10,0
"202411","5","7001 - 8000",5,11,3
"202403","2",   0 - 1000,5,20,5
"202401","4","2001 - 3000",6,810,234
"202406","8","8001 - 9000",1,14,0
General,"4","4001 - 5000",7,16179,6122
"202403","2","4001 - 5000",7,70,9
"202405","5","2001 - 3000",7,1,0
"202408","6","6001 - 7000",3,383,122
"202504","8","9001 - 10000",1,272,16
"202402","7","9001 - 10000",4,175,44
"202401","3","7001 - 8000",6,658,210
"202402","2","6001 - 7000",3,10,2
"202409","3","1001 - 2000",5,372,71
"202502","1",   0 - 1000,6,2992,255
General,"3","3001 - 4000",6,11671,3373
"202504","4","4001 - 5000",1,1024,109
General,"2","5001 - 6000",2,574,117
"202404","5","3001 - 4000",5,7,1
"202503","2","7001 - 8000",4,74,11
"202401","4","5001 - 6000",4,1010,366
"202404","1","6001 - 7000",6,174,14
"202412","3","1001 - 2000",6,433,130
"202401","3","1001 - 2000",3,461,96
"202404","4","3001 - 4000",5,1293,391
"202503","8","9001 - 10000",4,323,91
"202412","1","7001 - 8000",3,909,138
"202401","3",   0 - 1000,6,21,5
"202506","6","3001 - 4000",1,207,11
"202502","6","5001 - 6000",6,362,143
"202405","4","3001 - 4000",3,1271,411
"202406","5","4001 - 5000",8,8,3
"202403","1","6001 - 7000",1,182,18
"202505","2",   0 - 1000,3,9,3
"202408","4","6001 - 7000",7,856,354
"202405","6","7001 - 8000",5,2655,931
"202410","6","3001 - 4000",4,206,72
"202412","6","5001 - 6000",6,615,232
General,"5","7001 - 8000",5,174,58
"202412","3",   0 - 1000,4,11,4
"202409","1","1001 - 2000",7,6800,712
"202406","4","2001 - 3000",6,889,254
"202503","4","7001 - 8000",1,3099,376
"202409","4","4001 - 5000",2,1206,315
General,"6","9001 - 10000",4,2,1
"202405","6",   0 - 1000,3,1,0
"202403","5","6001 - 7000",6,1,0
"202401","5","3001 - 4000",5,6,1
"202405","3","6001 - 7000",6,255,87
"202404","1","4001 - 5000",4,1018,106
"202402","5","3001 - 4000",6,7,3
"202402","4",   0 - 1000,7,9,1
"202412","6","5001 - 6000",1,615,65
"202403","5","7001 - 8000",3,15,5
"202404","2","5001 - 6000",7,48,13
"202410","6","1001 - 2000",8,31,12
"202408","6","5001 - 6000",3,685,195
"202504","5","4001 - 5000",1,6,0
"202401","3","6001 - 7000",1,225,36
"202409","1","1001 - 2000",4,6800,712
"202408","3","7001 - 8000",6,786,240
"202401","2",   0 - 1000,5,15,4
"202404","1","6001 - 7000",7,174,14
"202405","6","4001 - 5000",2,554,84
"202411","6","7001 - 8000",5,2801,1221
"202412","6","7001 - 8000",8,2964,1227
"202405","6","3001 - 4000",2,271,34
"202402","6","2001 - 3000",5,128,35
"202404","5","4001 - 5000",1,8,2
"202405","2","7001 - 8000",6,126,19
"202502","3","7001 - 8000",4,1033,310
"202403","2","2001 - 3000",6,174,32
"202409","1",   0 - 1000,7,2629,237
"202402","6","3001 - 4000",2,264,33
"202506","3","3001 - 4000",1,892,97
"202406","1",   0 - 1000,2,2928,283
"202402","4","5001 - 6000",5,1097,438
"202501","7","9001 - 10000",7,124,28
"202411","2","1001 - 2000",6,184,46
"202405","5","6001 - 7000",7,1,0
"202409","3","5001 - 6000",3,518,181
"202501","4","6001 - 7000",1,397,56
"202502","6","3001 - 4000",1,137,6
"202408","4","1001 - 2000",5,338,100
"202505","3","6001 - 7000",2,322,97
"202411","8","10000 +",6,2139,734
"202506","1","4001 - 5000",2,1124,179
